,tea_name,tea_origin,tea_star,tea_price,tea_availability,tea_link
67,"KU002 Tomizawa Tea Garden: 2021 Kabusecha Saemidori Kumamoto Guricha ""Green Tea.Lab"" かぶせ茶",Tomizawa Tea Garden, 2 ,JPY ¥500,"In stock, 14 units",https://yunomi.life//collections/green-tea/products/ku002-tomizawa-tea-garden-kabusecha-saemidori-kumamoto-guricha-green-tea
68,"Obubu Matcha: Samidori Cultivar (25g) from Wazuka, Kyoto.",Kyoto Obubu Tea Farms, 1 ,"JPY ¥2,499",Available,https://yunomi.life//collections/green-tea/products/obubu-matcha-samidori-cultivar-25g
69,Hachimanjyu: Organic Yakushima Genmaicha Brown Rice Green Tea 有機玄米茶,Hachimanjyu Yakushima Tea, 2 ,From JPY ¥999,Available,https://yunomi.life//collections/green-tea/products/hachimanjyu-organic-genmaicha-brown-rice-green-tea
70,"NaturaliTea #03: Sencha Green Tea, Yabukita Midori First Flush 有機一番摘み煎茶  やぶきたみどり",NaturaliTea, 5 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/naturalitea-03-sencha-green-tea-yabukita-midori-first-flush
71,Azuma Tea Garden: Roasted Tencha Hojicha Powder,Azuma Tea Garden, 2 ,"From JPY ¥1,800",Available,https://yunomi.life//collections/green-tea/products/azuma-tea-garden-roasted-tencha-hojicha-powder
72,Nishide G8: Basic Gyokuro from Kyoto 高級玉露,Nishide Tea Factory, 3 ,"From JPY ¥1,799",Available,https://yunomi.life//collections/green-tea/products/nishide-gyokuro
73,Kunitomo: Riguricha Furanka - The Orchid Dragon - Handpicked Kamairicha,Kunitomo Tea Garden, 3 ,From JPY ¥780,Available,https://yunomi.life//collections/green-tea/products/kunitomo-riguricha-furanka-the-orchid-dragon-handpicked-kamairicha
74,Kurihara Tea #08: Premium Sencha Hime Midori 媛みどり,Kurihara Tea Farm, 2 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/kurihara-tea-08-premium-sencha-hime-midori
75,Kyocera Ceramic Hand Mill for Sencha Green Tea,Yunomi Lifestyle, 1 ,"JPY ¥5,480",Available,https://yunomi.life//collections/green-tea/products/kyocera-ceramic-hand-mill-for-sencha-green-tea
76,"Cultivar Comparison: Obubu Tea - 4 matcha cultivar set (Gokou, Uji Hikari, Samidori, Okumidori)",Kyoto Obubu Tea Farms, 1 ,"JPY ¥8,800",Available,https://yunomi.life//collections/green-tea/products/obubu-tea-matcha-cultivar-set
